property,value,state,condition,subject
sink_amplitude,0.10535091320606922,all-SPW-states,early-recovery,Alessandro
sink_integral,4.084105572546207,all-SPW-states,early-recovery,Alessandro
count,3382.0,all-SPW-states,early-recovery,Alessandro
rate,0.9500026736976653,all-SPW-states,early-recovery,Alessandro
duration,0.06260898345456564,NREM,late-recovery,Alessandro
sink_amplitude,0.09919690778903735,NREM,late-recovery,Alessandro
sink_integral,3.9164293469446876,NREM,late-recovery,Alessandro
count,2249.0,NREM,late-recovery,Alessandro
rate,0.6331661959977416,NREM,late-recovery,Alessandro
duration,0.06055680043266479,wake,late-recovery,Alessandro
sink_amplitude,0.10541472895615601,wake,late-recovery,Alessandro
sink_integral,4.06847639693642,wake,late-recovery,Alessandro
count,588.0,wake,late-recovery,Alessandro
rate,0.29195340600018027,wake,late-recovery,Alessandro
duration,0.062268636131061254,all-SPW-states,late-recovery,Alessandro
sink_amplitude,0.09908571919099406,all-SPW-states,late-recovery,Alessandro
sink_integral,3.895395078827119,all-SPW-states,late-recovery,Alessandro
count,2125.0,all-SPW-states,late-recovery,Alessandro
rate,0.5952397642046929,all-SPW-states,late-recovery,Alessandro
duration,0.0630553863677886,NREM,first2h-recovery,Alessandro
sink_amplitude,0.10413415018936482,NREM,first2h-recovery,Alessandro
sink_integral,4.133269502199662,NREM,first2h-recovery,Alessandro
count,6286.0,NREM,first2h-recovery,Alessandro
rate,0.9139311289893473,NREM,first2h-recovery,Alessandro
duration,0.06055680043266479,wake,first2h-recovery,Alessandro
sink_amplitude,0.10541472895615601,wake,first2h-recovery,Alessandro
sink_integral,4.06847639693642,wake,first2h-recovery,Alessandro
count,588.0,wake,first2h-recovery,Alessandro
rate,0.29195340600018027,wake,first2h-recovery,Alessandro
duration,0.06308777725026637,all-SPW-states,first2h-recovery,Alessandro
sink_amplitude,0.10422976010080841,all-SPW-states,first2h-recovery,Alessandro
sink_integral,4.140472820282242,all-SPW-states,first2h-recovery,Alessandro
count,6329.0,all-SPW-states,first2h-recovery,Alessandro
rate,0.8827081840756267,all-SPW-states,first2h-recovery,Alessandro
duration,0.06343381753236978,NREM,baseline-light-period,Alessandro
sink_amplitude,0.10236823798774022,NREM,baseline-light-period,Alessandro
sink_integral,4.0538656985556525,NREM,baseline-light-period,Alessandro
count,15344.0,NREM,baseline-light-period,Alessandro
rate,0.6562902362879722,NREM,baseline-light-period,Alessandro
duration,0.06191734949131364,wake,baseline-light-period,Alessandro
sink_amplitude,0.10461145801242208,wake,baseline-light-period,Alessandro
sink_integral,4.055994892470898,wake,baseline-light-period,Alessandro
count,3582.0,wake,baseline-light-period,Alessandro
rate,0.26126952808137843,wake,baseline-light-period,Alessandro
duration,0.06314680556348785,all-SPW-states,baseline-light-period,Alessandro
sink_amplitude,0.1027927975422377,all-SPW-states,baseline-light-period,Alessandro
sink_integral,4.054268677135606,all-SPW-states,baseline-light-period,Alessandro
count,18926.0,all-SPW-states,baseline-light-period,Alessandro
rate,0.510273963764789,all-SPW-states,baseline-light-period,Alessandro
duration,0.06515623175750754,NREM,first2h-recovery-match,Alessandro
