band,region,power,state,condition,subject
low_delta,sr_wm_ref,130301.0210417698,NREM,late-recovery,Valentino
delta,mpta_wm_ref,64307.008173644805,NREM,late-recovery,Valentino
delta,sr_wm_ref,335235.90597610414,NREM,late-recovery,Valentino
theta,mpta_wm_ref,38351.28038233347,NREM,late-recovery,Valentino
theta,sr_wm_ref,267345.66786789225,NREM,late-recovery,Valentino
fast_gamma,mpta_wm_ref,1210.8567831141206,NREM,late-recovery,Valentino
fast_gamma,sr_wm_ref,8379.621062987555,NREM,late-recovery,Valentino
low_delta,mpta_wm_ref,7562.173025295716,wake,late-recovery,Valentino
low_delta,sr_wm_ref,50779.26501391275,wake,late-recovery,Valentino
delta,mpta_wm_ref,16224.655767243614,wake,late-recovery,Valentino
delta,sr_wm_ref,114038.15455578457,wake,late-recovery,Valentino
theta,mpta_wm_ref,11157.785948714707,wake,late-recovery,Valentino
theta,sr_wm_ref,150699.52154919712,wake,late-recovery,Valentino
fast_gamma,mpta_wm_ref,1304.7882501577853,wake,late-recovery,Valentino
fast_gamma,sr_wm_ref,3950.086834880922,wake,late-recovery,Valentino
low_delta,mpta_wm_ref,10825.238806730922,all-SPW-states,late-recovery,Valentino
low_delta,sr_wm_ref,70407.41774077312,all-SPW-states,late-recovery,Valentino
delta,mpta_wm_ref,25279.410841410136,all-SPW-states,late-recovery,Valentino
delta,sr_wm_ref,173404.07255435776,all-SPW-states,late-recovery,Valentino
theta,mpta_wm_ref,15650.337886045814,all-SPW-states,late-recovery,Valentino
theta,sr_wm_ref,181872.9583691394,all-SPW-states,late-recovery,Valentino
fast_gamma,mpta_wm_ref,1322.2697645402961,all-SPW-states,late-recovery,Valentino
fast_gamma,sr_wm_ref,5457.077856259059,all-SPW-states,late-recovery,Valentino
low_delta,mpta_wm_ref,39305.32668016004,NREM,first2h-recovery,Valentino
low_delta,sr_wm_ref,173364.75154952623,NREM,first2h-recovery,Valentino
delta,mpta_wm_ref,120578.352157044,NREM,first2h-recovery,Valentino
delta,sr_wm_ref,445007.37611703307,NREM,first2h-recovery,Valentino
theta,mpta_wm_ref,41917.745040377384,NREM,first2h-recovery,Valentino
theta,sr_wm_ref,244194.5776475782,NREM,first2h-recovery,Valentino
fast_gamma,mpta_wm_ref,1161.8096178100482,NREM,first2h-recovery,Valentino
fast_gamma,sr_wm_ref,8933.03014930947,NREM,first2h-recovery,Valentino
low_delta,mpta_wm_ref,7410.1825535401,wake,first2h-recovery,Valentino
low_delta,sr_wm_ref,53637.84084978474,wake,first2h-recovery,Valentino
delta,mpta_wm_ref,15606.073547827786,wake,first2h-recovery,Valentino
delta,sr_wm_ref,119505.10880106768,wake,first2h-recovery,Valentino
theta,mpta_wm_ref,10868.750253419104,wake,first2h-recovery,Valentino
theta,sr_wm_ref,150065.58079549548,wake,first2h-recovery,Valentino
fast_gamma,mpta_wm_ref,1320.3261775590377,wake,first2h-recovery,Valentino
fast_gamma,sr_wm_ref,4183.045611902375,wake,first2h-recovery,Valentino
low_delta,mpta_wm_ref,29875.818246756913,all-SPW-states,first2h-recovery,Valentino
low_delta,sr_wm_ref,152878.3471270448,all-SPW-states,first2h-recovery,Valentino
delta,mpta_wm_ref,98977.73347450675,all-SPW-states,first2h-recovery,Valentino
delta,sr_wm_ref,408924.5714903667,all-SPW-states,first2h-recovery,Valentino
theta,mpta_wm_ref,37594.31218214093,all-SPW-states,first2h-recovery,Valentino
theta,sr_wm_ref,225150.41484459583,all-SPW-states,first2h-recovery,Valentino
fast_gamma,mpta_wm_ref,1202.7390596592927,all-SPW-states,first2h-recovery,Valentino
fast_gamma,sr_wm_ref,8452.14364700843,all-SPW-states,first2h-recovery,Valentino
low_delta,mpta_wm_ref,28320.20047070698,NREM,baseline-light-period,Valentino
low_delta,sr_wm_ref,117689.74443812562,NREM,baseline-light-period,Valentino
delta,mpta_wm_ref,56271.10187631076,NREM,baseline-light-period,Valentino
delta,sr_wm_ref,279466.8324002573,NREM,baseline-light-period,Valentino
theta,mpta_wm_ref,22550.14840994223,NREM,baseline-light-period,Valentino
theta,sr_wm_ref,219525.36476939436,NREM,baseline-light-period,Valentino
