property,value,state,condition,subject
rate,0.14842946060011405,all-SPW-states,early-deprivation,Doppio
duration,,NREM,late-deprivation,Doppio
sink_amplitude,,NREM,late-deprivation,Doppio
sink_integral,,NREM,late-deprivation,Doppio
count,0.0,NREM,late-deprivation,Doppio
rate,,NREM,late-deprivation,Doppio
duration,0.05599994368640182,wake,late-deprivation,Doppio
sink_amplitude,0.045809212342861026,wake,late-deprivation,Doppio
sink_integral,1.699230323006754,wake,late-deprivation,Doppio
count,1569.0,wake,late-deprivation,Doppio
rate,0.44373219979403705,wake,late-deprivation,Doppio
duration,0.05599994368640182,all-SPW-states,late-deprivation,Doppio
sink_amplitude,0.045809212342861026,all-SPW-states,late-deprivation,Doppio
sink_integral,1.699230323006754,all-SPW-states,late-deprivation,Doppio
count,1569.0,all-SPW-states,late-deprivation,Doppio
rate,0.44373219979403705,all-SPW-states,late-deprivation,Doppio
duration,0.05559968560601192,NREM,recovery,Alessandro
sink_amplitude,0.09565488744449871,NREM,recovery,Alessandro
sink_integral,3.4790465166261275,NREM,recovery,Alessandro
count,12440.0,NREM,recovery,Alessandro
rate,0.7858526341569483,NREM,recovery,Alessandro
duration,0.05199970596231651,wake,recovery,Alessandro
sink_amplitude,0.10044412892151511,wake,recovery,Alessandro
sink_integral,3.315428687629026,wake,recovery,Alessandro
count,588.0,wake,recovery,Alessandro
rate,0.29195340600018027,wake,recovery,Alessandro
duration,0.05559968560601192,all-SPW-states,recovery,Alessandro
sink_amplitude,0.09580973157013681,all-SPW-states,recovery,Alessandro
sink_integral,3.470323898773472,all-SPW-states,recovery,Alessandro
count,13028.0,all-SPW-states,recovery,Alessandro
rate,0.7301069964881066,all-SPW-states,recovery,Alessandro
duration,0.05439969239149178,NREM,early-recovery,Alessandro
sink_amplitude,0.09791988745555157,NREM,early-recovery,Alessandro
sink_integral,3.4936769720580756,NREM,early-recovery,Alessandro
count,3364.0,NREM,early-recovery,Alessandro
rate,0.9722571506757266,NREM,early-recovery,Alessandro
duration,0.05199970596231651,wake,early-recovery,Alessandro
sink_amplitude,0.10044412892151511,wake,early-recovery,Alessandro
sink_integral,3.315428687629026,wake,early-recovery,Alessandro
count,588.0,wake,early-recovery,Alessandro
rate,0.29195340600018027,wake,early-recovery,Alessandro
duration,0.05439969239149889,all-SPW-states,early-recovery,Alessandro
sink_amplitude,0.09802649987216143,all-SPW-states,early-recovery,Alessandro
sink_integral,3.4947375125809392,all-SPW-states,early-recovery,Alessandro
count,3382.0,all-SPW-states,early-recovery,Alessandro
rate,0.9500026736976653,all-SPW-states,early-recovery,Alessandro
duration,0.05479969012958463,NREM,late-recovery,Alessandro
sink_amplitude,0.09253627943829427,NREM,late-recovery,Alessandro
sink_integral,3.3122410384631302,NREM,late-recovery,Alessandro
count,2249.0,NREM,late-recovery,Alessandro
rate,0.6331661959977416,NREM,late-recovery,Alessandro
duration,0.05199970596231651,wake,late-recovery,Alessandro
sink_amplitude,0.10044412892151511,wake,late-recovery,Alessandro
sink_integral,3.315428687629026,wake,late-recovery,Alessandro
count,588.0,wake,late-recovery,Alessandro
rate,0.29195340600018027,wake,late-recovery,Alessandro
duration,0.05479969012958463,all-SPW-states,late-recovery,Alessandro
sink_amplitude,0.09285322186189197,all-SPW-states,late-recovery,Alessandro
sink_integral,3.310461438017451,all-SPW-states,late-recovery,Alessandro
count,2125.0,all-SPW-states,late-recovery,Alessandro
rate,0.5952397642046929,all-SPW-states,late-recovery,Alessandro
duration,0.05559968560601192,NREM,first2h-recovery,Alessandro
sink_amplitude,0.09667597201554343,NREM,first2h-recovery,Alessandro
sink_integral,3.518143219188521,NREM,first2h-recovery,Alessandro
count,6286.0,NREM,first2h-recovery,Alessandro
rate,0.9139311289893473,NREM,first2h-recovery,Alessandro
duration,0.05199970596231651,wake,first2h-recovery,Alessandro
sink_amplitude,0.10044412892151511,wake,first2h-recovery,Alessandro
sink_integral,3.315428687629026,wake,first2h-recovery,Alessandro
count,588.0,wake,first2h-recovery,Alessandro
rate,0.29195340600018027,wake,first2h-recovery,Alessandro
duration,0.05559968560601192,all-SPW-states,first2h-recovery,Alessandro
sink_amplitude,0.09671215897424917,all-SPW-states,first2h-recovery,Alessandro
sink_integral,3.5184511389162623,all-SPW-states,first2h-recovery,Alessandro
count,6329.0,all-SPW-states,first2h-recovery,Alessandro
rate,0.8827081840756267,all-SPW-states,first2h-recovery,Alessandro
duration,0.05519968786802565,NREM,baseline-light-period,Alessandro
sink_amplitude,0.09599922020917648,NREM,baseline-light-period,Alessandro
sink_integral,3.451656336202297,NREM,baseline-light-period,Alessandro
count,15344.0,NREM,baseline-light-period,Alessandro
rate,0.6562902362879722,NREM,baseline-light-period,Alessandro
duration,0.055199687867798275,wake,baseline-light-period,Alessandro
sink_amplitude,0.09815360992702028,wake,baseline-light-period,Alessandro
sink_integral,3.4791648433451092,wake,baseline-light-period,Alessandro
count,3582.0,wake,baseline-light-period,Alessandro
rate,0.26126952808137843,wake,baseline-light-period,Alessandro
duration,0.05519968786802565,all-SPW-states,baseline-light-period,Alessandro
sink_amplitude,0.0964749173546233,all-SPW-states,baseline-light-period,Alessandro
sink_integral,3.4567427876425962,all-SPW-states,baseline-light-period,Alessandro
count,18926.0,all-SPW-states,baseline-light-period,Alessandro
rate,0.510273963764789,all-SPW-states,baseline-light-period,Alessandro
duration,0.05679967882042547,NREM,first2h-recovery-match,Alessandro
