band,region,power,state,condition,subject
fast_gamma,sr_wm_ref,11031.735735922253,NREM,early-recovery,Valentino
low_delta,mpta_wm_ref,13024.932835541933,wake,early-recovery,Valentino
low_delta,sr_wm_ref,161203.95701864472,wake,early-recovery,Valentino
delta,mpta_wm_ref,30085.254396248107,wake,early-recovery,Valentino
delta,sr_wm_ref,327622.78917716467,wake,early-recovery,Valentino
theta,mpta_wm_ref,15650.445919484157,wake,early-recovery,Valentino
theta,sr_wm_ref,192565.7169592053,wake,early-recovery,Valentino
fast_gamma,mpta_wm_ref,1375.0837396135123,wake,early-recovery,Valentino
fast_gamma,sr_wm_ref,5990.352209607106,wake,early-recovery,Valentino
low_delta,mpta_wm_ref,43861.291234696415,all-SPW-states,early-recovery,Valentino
low_delta,sr_wm_ref,241137.0900741278,all-SPW-states,early-recovery,Valentino
delta,mpta_wm_ref,132651.23198870986,all-SPW-states,early-recovery,Valentino
delta,sr_wm_ref,524612.0414712344,all-SPW-states,early-recovery,Valentino
theta,mpta_wm_ref,44728.08677930153,all-SPW-states,early-recovery,Valentino
theta,sr_wm_ref,257031.27435609497,all-SPW-states,early-recovery,Valentino
fast_gamma,mpta_wm_ref,1406.6647594938413,all-SPW-states,early-recovery,Valentino
fast_gamma,sr_wm_ref,10607.098820483963,all-SPW-states,early-recovery,Valentino
low_delta,mpta_wm_ref,34527.87842512164,NREM,late-recovery,Valentino
low_delta,sr_wm_ref,226750.81020305242,NREM,late-recovery,Valentino
delta,mpta_wm_ref,85482.77617901724,NREM,late-recovery,Valentino
delta,sr_wm_ref,465940.759455648,NREM,late-recovery,Valentino
theta,mpta_wm_ref,45476.765925008694,NREM,late-recovery,Valentino
theta,sr_wm_ref,287447.17970577,NREM,late-recovery,Valentino
fast_gamma,mpta_wm_ref,1271.3380087239866,NREM,late-recovery,Valentino
fast_gamma,sr_wm_ref,9571.394905736033,NREM,late-recovery,Valentino
low_delta,mpta_wm_ref,12262.445017155254,wake,late-recovery,Valentino
low_delta,sr_wm_ref,151825.5196936644,wake,late-recovery,Valentino
delta,mpta_wm_ref,26570.039911342403,wake,late-recovery,Valentino
delta,sr_wm_ref,286395.2442990367,wake,late-recovery,Valentino
theta,mpta_wm_ref,14753.442392469684,wake,late-recovery,Valentino
theta,sr_wm_ref,189838.41255034524,wake,late-recovery,Valentino
fast_gamma,mpta_wm_ref,1360.8685555034747,wake,late-recovery,Valentino
fast_gamma,sr_wm_ref,6023.549508222876,wake,late-recovery,Valentino
low_delta,mpta_wm_ref,19204.721592489328,all-SPW-states,late-recovery,Valentino
low_delta,sr_wm_ref,183982.27792056746,all-SPW-states,late-recovery,Valentino
delta,mpta_wm_ref,44799.41701277393,all-SPW-states,late-recovery,Valentino
delta,sr_wm_ref,347631.0412135057,all-SPW-states,late-recovery,Valentino
theta,mpta_wm_ref,27153.880986981294,all-SPW-states,late-recovery,Valentino
theta,sr_wm_ref,223518.2647354591,all-SPW-states,late-recovery,Valentino
fast_gamma,mpta_wm_ref,1386.5471499854375,all-SPW-states,late-recovery,Valentino
fast_gamma,sr_wm_ref,7314.2307896393495,all-SPW-states,late-recovery,Valentino
low_delta,mpta_wm_ref,55469.37822201475,NREM,first2h-recovery,Valentino
low_delta,sr_wm_ref,274715.9209976142,NREM,first2h-recovery,Valentino
delta,mpta_wm_ref,158039.03743207207,NREM,first2h-recovery,Valentino
delta,sr_wm_ref,573600.2394499186,NREM,first2h-recovery,Valentino
theta,mpta_wm_ref,49253.645010654676,NREM,first2h-recovery,Valentino
theta,sr_wm_ref,273831.46769969695,NREM,first2h-recovery,Valentino
fast_gamma,mpta_wm_ref,1209.2910523462433,NREM,first2h-recovery,Valentino
fast_gamma,sr_wm_ref,10092.754517277226,NREM,first2h-recovery,Valentino
low_delta,mpta_wm_ref,11617.3075068533,wake,first2h-recovery,Valentino
low_delta,sr_wm_ref,151451.02906872178,wake,first2h-recovery,Valentino
delta,mpta_wm_ref,25500.1946498807,wake,first2h-recovery,Valentino
delta,sr_wm_ref,295924.38094118604,wake,first2h-recovery,Valentino
theta,mpta_wm_ref,14274.889325234246,wake,first2h-recovery,Valentino
theta,sr_wm_ref,186150.03832363716,wake,first2h-recovery,Valentino
fast_gamma,mpta_wm_ref,1403.063598625293,wake,first2h-recovery,Valentino
fast_gamma,sr_wm_ref,5956.146774426864,wake,first2h-recovery,Valentino
low_delta,mpta_wm_ref,48333.73589453797,all-SPW-states,first2h-recovery,Valentino
low_delta,sr_wm_ref,251543.65812867845,all-SPW-states,first2h-recovery,Valentino
delta,mpta_wm_ref,140595.5851198507,all-SPW-states,first2h-recovery,Valentino
delta,sr_wm_ref,532401.7793600503,all-SPW-states,first2h-recovery,Valentino
theta,mpta_wm_ref,43899.15006043472,all-SPW-states,first2h-recovery,Valentino
theta,sr_wm_ref,255116.77564133704,all-SPW-states,first2h-recovery,Valentino
fast_gamma,mpta_wm_ref,1283.4567269627566,all-SPW-states,first2h-recovery,Valentino
fast_gamma,sr_wm_ref,9690.98918165479,all-SPW-states,first2h-recovery,Valentino
low_delta,mpta_wm_ref,42978.09416438734,NREM,baseline-light-period,Valentino
low_delta,sr_wm_ref,220880.9974581486,NREM,baseline-light-period,Valentino
delta,mpta_wm_ref,92902.26280445079,NREM,baseline-light-period,Valentino
delta,sr_wm_ref,423927.44036798785,NREM,baseline-light-period,Valentino
theta,mpta_wm_ref,29509.669273558982,NREM,baseline-light-period,Valentino
theta,sr_wm_ref,242158.84618779988,NREM,baseline-light-period,Valentino
fast_gamma,mpta_wm_ref,881.121793792012,NREM,baseline-light-period,Valentino
fast_gamma,sr_wm_ref,8628.437189876291,NREM,baseline-light-period,Valentino
low_delta,mpta_wm_ref,8686.266104946406,wake,baseline-light-period,Valentino
low_delta,sr_wm_ref,108466.46039706888,wake,baseline-light-period,Valentino
delta,mpta_wm_ref,15434.7135732525,wake,baseline-light-period,Valentino
delta,sr_wm_ref,206056.3396706915,wake,baseline-light-period,Valentino
theta,mpta_wm_ref,7751.970260396851,wake,baseline-light-period,Valentino
theta,sr_wm_ref,161803.77873522817,wake,baseline-light-period,Valentino
fast_gamma,mpta_wm_ref,930.733102572719,wake,baseline-light-period,Valentino
fast_gamma,sr_wm_ref,4906.976093851105,wake,baseline-light-period,Valentino
low_delta,mpta_wm_ref,29253.214387408752,all-SPW-states,baseline-light-period,Valentino
low_delta,sr_wm_ref,175888.47026847344,all-SPW-states,baseline-light-period,Valentino
delta,mpta_wm_ref,61896.834981461,all-SPW-states,baseline-light-period,Valentino
delta,sr_wm_ref,336727.2287384082,all-SPW-states,baseline-light-period,Valentino
theta,mpta_wm_ref,20801.419521993885,all-SPW-states,baseline-light-period,Valentino
theta,sr_wm_ref,209997.7249333169,all-SPW-states,baseline-light-period,Valentino
fast_gamma,mpta_wm_ref,900.9781061301424,all-SPW-states,baseline-light-period,Valentino
fast_gamma,sr_wm_ref,7138.968443879016,all-SPW-states,baseline-light-period,Valentino
low_delta,mpta_wm_ref,31894.153367474282,NREM,first2h-recovery-match,Valentino
low_delta,sr_wm_ref,217534.18639366908,NREM,first2h-recovery-match,Valentino
delta,mpta_wm_ref,62114.33787495998,NREM,first2h-recovery-match,Valentino
delta,sr_wm_ref,421234.84744763636,NREM,first2h-recovery-match,Valentino
theta,mpta_wm_ref,23995.82025461661,NREM,first2h-recovery-match,Valentino
theta,sr_wm_ref,254446.35892259367,NREM,first2h-recovery-match,Valentino
fast_gamma,mpta_wm_ref,912.5265489279151,NREM,first2h-recovery-match,Valentino
fast_gamma,sr_wm_ref,9187.813620603305,NREM,first2h-recovery-match,Valentino
low_delta,mpta_wm_ref,7989.561534122963,wake,first2h-recovery-match,Valentino
low_delta,sr_wm_ref,104019.38717026425,wake,first2h-recovery-match,Valentino
delta,mpta_wm_ref,14194.598286590977,wake,first2h-recovery-match,Valentino
delta,sr_wm_ref,198153.17972966377,wake,first2h-recovery-match,Valentino
theta,mpta_wm_ref,7584.756955172192,wake,first2h-recovery-match,Valentino
theta,sr_wm_ref,165162.9596089291,wake,first2h-recovery-match,Valentino
fast_gamma,mpta_wm_ref,937.1050746119253,wake,first2h-recovery-match,Valentino
fast_gamma,sr_wm_ref,4780.783590022585,wake,first2h-recovery-match,Valentino
low_delta,mpta_wm_ref,24901.66533983416,all-SPW-states,first2h-recovery-match,Valentino
low_delta,sr_wm_ref,171292.21008135143,all-SPW-states,first2h-recovery-match,Valentino
delta,mpta_wm_ref,47322.62368466688,all-SPW-states,first2h-recovery-match,Valentino
delta,sr_wm_ref,335910.54350389325,all-SPW-states,first2h-recovery-match,Valentino
theta,mpta_wm_ref,17913.048642860158,all-SPW-states,first2h-recovery-match,Valentino
theta,sr_wm_ref,226993.1514364232,all-SPW-states,first2h-recovery-match,Valentino
